ESTU_CONSECUTIVO_S11,ESTU_GENERO_S11,edad_estudianteS11_S11,edadSaberPro_SPRO,COLE_DEPTO_UBICACION_S11,ESTU_DEPTO_RESIDE_SPRO,PERIODO_S11,PERIODO_SPRO,PUNT_MATEMATICAS_S11,PUNT_INGLES_S11,PUNT_C_NATURALES_S11,PUNT_LECTURA_CRITICA_S11,PUNT_SOCIALES_CIUDADANAS_S11,PUNT_GLOBAL_S11,MOD_RAZONA_CUANTITAT_PUNT_SPRO,MOD_LECTURA_CRITICA_PUNT_SPRO,MOD_COMPETEN_CIUDADA_PUNT_SPRO,MOD_INGLES_PUNT_SPRO,MOD_COMUNI_ESCRITA_PUNT_SPRO,PUNT_GLOBAL_SPRO,cambio_depto
SB11201420045668,M,16.58823529411765,23.584131326949386,ANTIOQUIA,ANTIOQUIA,20142,2021,52,36,33,40,39,203.07692307692307,129,110,95,147,181,132.4,TRUE
SB11201710035295,M,17.376196990424077,21.3734610123119,ATLANTICO,ATLANTICO,20171,2021,50,63,59,54,51,271.1538461538462,108,131,124,166,130,131.8,TRUE
SB11201320213088,M,18.415868673050614,26.410396716826266,BOGOTA,CUNDINAMARCA,20132,2021,49,100,64,67,77,335,202,188,197,300,162,209.8,FALSE
SB11201220340130,F,16.500683994528043,25.493844049247606,BOGOTA,BOGOTÁ,20122,2021,52,59,48.333333333333336,48,44,244.61538461538458,138,124,128,200,83,134.6,FALSE
SB11201520058279,F,15.59233926128591,21.589603283173734,SANTANDER,SANTANDER,20152,2021,57,41,51,50,65,273.0769230769231,116,109,129,147,300,160.2,TRUE
SB11201420013269,F,16.66484268125855,23.660738714090286,BOYACA,BOYACA,20142,2021,92,85,70,72,67,380,216,204,193,205,159,195.4,TRUE
SB11201520430763,M,15.74281805745554,21.740082079343367,NORTE SANTANDER,VALLE,20152,2021,58,54,54,58,55,280.3846153846154,120,110,98,173,157,131.6,FALSE
SB11201710008298,M,19.439124487004104,23.43638850889193,VALLE,VALLE,20171,2021,63,82,68,67,65,335,156,154,174,217,145,169.2,TRUE
SB11201710004908,M,18.861833105335158,22.85909712722298,VALLE,VALLE,20171,2021,73,69,71,70,70,354.23076923076917,175,153,178,183,130,163.8,TRUE
SB11201520066844,F,16.74418604651163,22.741450068399452,CUNDINAMARCA,CUNDINAMARCA,20152,2021,52,63,61,53,60,285,131,136,145,155,119,137.2,TRUE
SB11201610036190,F,16.714090287277703,21.70998632010944,VALLE,EXTRANJERO,20161,2021,60,49,57,48,35,249.61538461538458,139,107,100,172,164,136.4,FALSE
SB11201720085453,M,16.202462380300958,20.199726402188784,BOGOTA,CUNDINAMARCA,20172,2021,77,80,72,76,78,380.3846153846154,219,201,208,217,177,204.4,FALSE
SB11201310004702,M,18.790697674418606,26.785225718194255,ATLANTICO,ATLANTICO,20131,2021,67,83,63,52,55,305.3846153846154,180,168,158,208,166,176,TRUE
SB11201610054809,F,17.004103967168263,22,CUNDINAMARCA,CUNDINAMARCA,20161,2021,100,92,79,88,78,433.46153846153845,206,193,189,222,163,194.6,TRUE
SB11201720088216,F,16.67578659370725,20.673050615595074,ATLANTICO,ATLANTICO,20172,2021,70,77,74,68,68,352.6923076923077,189,188,192,194,149,182.4,TRUE
SB11201420078685,F,17.838577291381668,24.834473324213405,ANTIOQUIA,ANTIOQUIA,20142,2021,81,100,78,75,73,392.6923076923077,175,199,189,207,157,185.4,TRUE
SB11201720270664,M,16.612859097127224,20.610123119015046,ANTIOQUIA,ANTIOQUIA,20172,2021,62,69,67,67,59,320.76923076923083,189,166,80,203,127,153,TRUE
SB11201610002091,F,18.232558139534884,23.22845417236662,BOGOTA,BOGOTÁ,20161,2021,80,90,79,74,69,383.0769230769231,176,132,118,208,187,164.2,FALSE
SB11201520141043,F,16.213406292749657,22.210670314637483,BOGOTA,CUNDINAMARCA,20152,2021,96,97,90,80,74,429.6153846153846,206,189,194,208,123,184,FALSE
SB11201220512928,M,16.194254445964432,25.187414500683996,ANTIOQUIA,ANTIOQUIA,20122,2021,55,50,49.333333333333336,53,42,249.23076923076923,173,126,89,175,156,143.8,TRUE
SB11201710032072,M,18.92749658002736,22.924760601915185,VALLE,VALLE,20171,2021,77,91,83,70,78,390.3846153846154,171,186,177,204,117,171,TRUE
SB11201620450789,F,16.79343365253078,21.789329685362517,ANTIOQUIA,ANTIOQUIA,20162,2021,60,66,61,66,58,308.0769230769231,140,157,140,199,120,151.2,TRUE
SB11201420156490,F,17.548563611491108,24.544459644322846,ANTIOQUIA,ANTIOQUIA,20142,2021,59,75,61,65,59,310.3846153846154,181,182,184,205,125,175.4,TRUE
SB11201420428305,M,16.147742818057456,23.143638850889193,ANTIOQUIA,EXTRANJERO,20142,2021,55,55,57,52,73,294.6153846153846,167,147,154,178,177,164.6,FALSE
SB11201320345480,M,16.83173734610123,24.82626538987688,BOGOTA,BOGOTÁ,20132,2021,74,68,60,58,57,313.46153846153845,67,0,0,0,174,48.2,FALSE
SB11201620299955,F,18.054719562243502,23.05061559507524,QUINDIO,QUINDIO,20162,2021,58,65,62,62,59,303.0769230769231,152,130,141,168,188,155.8,TRUE
SB11201810040692,F,18.027359781121753,21.025991792065664,CUNDINAMARCA,BOGOTÁ,20181,2021,57,77,58,59,61,300.7692307692308,117,166,131,190,118,144.4,FALSE
SB11201520073367,M,16.235294117647058,22.232558139534884,SANTANDER,EXTRANJERO,20152,2021,100,97,96,80,99,470,208,231,228,300,131,219.6,FALSE
SB11201710037692,F,18.870041039671683,22.867305061559506,VALLE,VALLE,20171,2021,70,85,66,69,65,344.23076923076917,172,212,187,222,173,193.2,TRUE
SB11201420459409,M,16.55266757865937,23.51299589603283,RISARALDA,RISARALDA,20142,2021,48,61,49,54,56,262.3076923076923,117,139,134,152,149,138.2,TRUE
SB11201520031030,M,16.94391244870041,22.941176470588236,BOGOTA,BOGOTÁ,20152,2021,90,80,76,67,72,382.6923076923077,186,161,145,189,123,160.8,FALSE
SB11201720052116,F,16.421340629274965,20.41860465116279,BOGOTA,CUNDINAMARCA,20172,2021,80,75,70,74,66,363.46153846153845,173,179,188,205,134,175.8,FALSE
SB11201220468302,F,16.55266757865937,25.545827633378934,CUNDINAMARCA,CUNDINAMARCA,20122,2021,53,51,40.666666666666664,55,46,244.23076923076923,162,131,120,185,129,145.4,TRUE
SB11201520020008,M,16.062927496580027,22.060191518467853,ANTIOQUIA,ANTIOQUIA,20152,2021,72,62,68,53,50,304.2307692307692,185,144,161,141,179,162,TRUE
SB11201720073198,F,17.58139534883721,21.578659370725035,BOGOTA,VALLE,20172,2021,60,56,65,64,67,316.9230769230769,152,174,177,184,187,174.8,FALSE
SB11201420371828,M,17.912448700410398,25.187414500683996,VALLE,ANTIOQUIA,20142,2021,38,43,37,41,39,195.38461538461542,173,126,89,175,156,143.8,FALSE
SB11201420237603,F,16.98221614227086,23.9781121751026,ANTIOQUIA,ANTIOQUIA,20142,2021,67,60,67,67,64,328.84615384615387,145,170,149,198,124,157.2,TRUE
SB11201520227098,F,16.48153214774282,22.478796169630645,CUNDINAMARCA,CUNDINAMARCA,20152,2021,60,59,62,60,54,295,167,144,122,180,128,148.2,TRUE
SB11201520229465,F,16.78248974008208,22.779753761969904,SANTANDER,SANTANDER,20152,2021,60,73,60,57,56,296.9230769230769,181,192,175,199,118,173,TRUE
SB11201520035895,F,15.688098495212039,21.685362517099865,BOGOTA,BOGOTÁ,20152,2021,63,85,66,63,70,335,164,188,178,199,113,168.4,FALSE
SB11201520115876,M,16.24623803009576,22.243502051983583,META,BOGOTÁ,20152,2021,100,82,96,80,74,435.3846153846154,209,186,201,204,79,175.8,FALSE
SB11201420147411,F,16.870041039671683,23.86593707250342,BOGOTA,BOGOTÁ,20142,2021,66,68,65,57,59,311.1538461538462,168,155,154,194,160,166.2,FALSE
SB11200920046598,M,16.853625170998633,34.85362517099863,RISARALDA,CALDAS,20092,2021,53.95,50.86,49.379999999999995,48.37,55.22,258.31538461538463,203,201,193,203,104,180.8,FALSE
SB11201620013488,F,15.761969904240766,20.757865937072502,CUNDINAMARCA,CUNDINAMARCA,20162,2021,56,67,60,68,56,302.6923076923077,149,193,115,193,182,166.4,TRUE
SB11201520114533,M,16.930232558139537,22.92749658002736,ATLANTICO,ATLANTICO,20152,2021,100,91,91,80,84,444.6153846153846,211,205,188,300,156,212,TRUE
SB11201620372108,F,17.85499316005472,22.850889192886456,SANTANDER,SANTANDER,20162,2021,61,55,57,55,64,294.6153846153846,169,132,144,122,156,144.6,TRUE
